rougher	gore	gore
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	!align="right	!align="right
tough	zinc	zinc
toughest	!align="right	!align="right
tough	zinc	zinc
tougher	!align="right	!align="right
toughest	!align="right	!align="right
meaner	!align="right	!align="right
mean	zinc	zinc
meanest	!align="right	!align="right
mean	zinc	zinc
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	!align="right	!align="right
smooth	zinc	zinc
smoothest	!align="right	!align="right
smooth	zinc	zinc
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
milder	!align="right	!align="right
mild	i	i
mildest	!align="right	!align="right
mild	i	i
milder	!align="right	!align="right
mildest	!align="right	!align="right
earlier	!align="right	!align="right
early	i	don't
earliest	!align="right	!align="right
early	i	i
earlier	extant	extant
earliest	saw	saw
tastier	!align="right	!align="right
tasty	i	i
tastiest	!align="right	!align="right
tasty	i	i
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slow	slow
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	than	than
greater	!align="right	!align="right
great	within	within
greatest	!align="right	!align="right
great	i	i
greater	ranked	ranked
greatest	poland	poland
richer	travelers	travelers
rich	!align="right	!align="right
richest	!align="right	!align="right
rich	hindwings	hindwings
richer	forewings	forewings
richest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	hindwings	hindwings
tastier	forewings	forewings
tastiest	!align="right	!align="right
thinner	bone	bone
thin	!align="right	!align="right
thinnest	!align="right	!align="right
thin	hindwings	hindwings
thinner	forewings	forewings
thinnest	!align="right	!align="right
rougher	inability	inability
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	hindwings	hindwings
rougher	forewings	forewings
roughest	!align="right	!align="right
luckier	doubled	doubled
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	hindwings	hindwings
luckier	forewings	forewings
luckiest	!align="right	!align="right
tighter	!align="right	!align="right
tight	tissue	tissue
tightest	!align="right	!align="right
tight	tissue	tissue
tighter	!align="right	!align="right
tightest	!align="right	!align="right
kinder	!align="right	!align="right
kind	tissue	tissue
kindest	!align="right	!align="right
kind	tissue	tissue
kinder	!align="right	!align="right
kindest	!align="right	!align="right
swifter	!align="right	!align="right
swift	tissue	tissue
swiftest	!align="right	!align="right
swift	tissue	tissue
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
messier	!align="right	!align="right
messy	tissue	tissue
messiest	!align="right	!align="right
messy	tissue	tissue
messier	!align="right	!align="right
messiest	!align="right	!align="right
deeper	!align="right	!align="right
deep	mud	mud
deepest	!align="right	!align="right
deep	tissue	tissue
deeper	!align="right	!align="right
deepest	understanding	understanding
lower	!align="right	!align="right
low	temperatures	temperatures
lowest	!align="right	!align="right
low	temperatures	temperatures
lower	highest	highest
lowest	upper	upper
costlier	!align="right	!align="right
costly	humid	humid
costliest	!align="right	!align="right
costly	humid	humid
costlier	!align="right	!align="right
costliest	!align="right	!align="right
narrower	!align="right	!align="right
narrow	humid	humid
narrowest	!align="right	!align="right
narrow	humid	humid
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
leaner	!align="right	!align="right
lean	humid	humid
leanest	!align="right	!align="right
lean	humid	humid
leaner	!align="right	!align="right
leanest	!align="right	!align="right
younger	!align="right	!align="right
young	winters	dry
youngest	!align="right	!align="right
young	winters	winters
younger	eldest	eldest
youngest	brother	brother
smaller	large	large
small	larger	larger
smallest	large	large
small	ranged	ranged
smaller	ranged	ranged
smallest	larger	larger
gentler	quiet	quiet
gentle	!align="right	!align="right
gentlest	quiet	quiet
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
mightier	ducks	ducks
mighty	!align="right	!align="right
mightiest	ducks	ducks
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	!align="right	!align="right
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
kinder	!align="right	!align="right
kind	knife	knife
kindest	!align="right	!align="right
kind	knife	knife
kinder	!align="right	!align="right
kindest	!align="right	!align="right
wider	!align="right	!align="right
wide	knife	handle
widest	!align="right	!align="right
wide	knife	knife
wider	!align="right	!align="right
widest	emerging	emerging
pricier	!align="right	!align="right
pricey	knife	knife
priciest	!align="right	!align="right
pricey	knife	knife
pricier	!align="right	!align="right
priciest	!align="right	!align="right
firmer	!align="right	!align="right
firm	knife	knife
firmest	!align="right	!align="right
firm	knife	knife
firmer	!align="right	!align="right
firmest	!align="right	!align="right
brighter	!align="right	!align="right
bright	knife	knife
brightest	!align="right	!align="right
bright	knife	knife
brighter	!align="right	!align="right
brightest	!align="right	!align="right
steadier	!align="right	!align="right
steady	broad	broad
steadiest	!align="right	!align="right
steady	broad	broad
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
classier	!align="right	!align="right
classy	broad	broad
classiest	!align="right	!align="right
classy	broad	broad
classier	!align="right	!align="right
classiest	!align="right	!align="right
sadder	!align="right	!align="right
sad	broad	broad
saddest	!align="right	!align="right
sad	broad	broad
sadder	!align="right	!align="right
saddest	!align="right	!align="right
meaner	!align="right	!align="right
mean	broad	broad
meanest	!align="right	!align="right
mean	broad	broad
meaner	!align="right	!align="right
meanest	!align="right	!align="right
faster	!align="right	!align="right
fastest	fast	fast
fast	!align="right	!align="right
fastest	broad	broad
faster	slow	slow
fast	than	than
louder	!align="right	!align="right
loud	quiet	quiet
loudest	!align="right	!align="right
loud	quiet	quiet
louder	!align="right	!align="right
loudest	!align="right	!align="right
newer	!align="right	!align="right
new	tempo	tempo
newest	!align="right	!align="right
new	quiet	quiet
newer	!align="right	!align="right
newest	pending	pending
bloodier	!align="right	!align="right
bloody	quiet	quiet
bloodiest	!align="right	!align="right
bloody	quiet	quiet
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
younger	!align="right	!align="right
young	elder	elder
youngest	!align="right	!align="right
young	sophia	sophia
younger	eldest	eldest
youngest	brother	brother
closer	!align="right	!align="right
close	tempo	tempo
closest	!align="right	!align="right
close	perhaps	perhaps
closer	crater	crater
closest	oregon	oregon
clearer	!align="right	!align="right
clear	lunch	lunch
clearest	!align="right	!align="right
clear	lunch	lunch
clearer	!align="right	!align="right
clearest	!align="right	!align="right
richer	!align="right	!align="right
rich	lunch	lunch
richest	!align="right	!align="right
rich	lunch	lunch
richer	!align="right	!align="right
richest	!align="right	!align="right
meaner	!align="right	!align="right
mean	lunch	lunch
meanest	!align="right	!align="right
mean	lunch	lunch
meaner	!align="right	!align="right
meanest	!align="right	!align="right
older	!align="right	!align="right
old	65	65
oldest	!align="right	!align="right
old	dated	dated
older	dated	dated
oldest	65	65
deeper	!align="right	!align="right
deep	download	download
deepest	!align="right	!align="right
deep	lunch	lunch
deeper	!align="right	!align="right
deepest	understanding	understanding
tastier	!align="right	!align="right
tasty	erect	erect
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	towers	towers
weaker	!align="right	!align="right
weak	erect	erect
weakest	coaster	coaster
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	towers	towers
sadder	!align="right	!align="right
sad	erect	erect
saddest	danube	danube
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	towers	towers
better	!align="right	!align="right
good	erect	erect
best	better	better
good	award	awards
better	!align="right	!align="right
best	towers	towers
stronger	!align="right	!align="right
strong	stems	stems
strongest	winds	winds
strong	erect	erect
stronger	!align="right	!align="right
strongest	towers	towers
lighter	!align="right	!align="right
light	winters	winters
lightest	!align="right	!align="right
light	winters	humid
lighter	!align="right	!align="right
lightest	than	than
wilder	!align="right	!align="right
wild	winters	humid
wildest	!align="right	!align="right
wild	winters	humid
wilder	!align="right	!align="right
wildest	!align="right	!align="right
prettier	!align="right	!align="right
pretty	winters	humid
prettiest	!align="right	!align="right
pretty	winters	humid
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
heavier	!align="right	!align="right
heavy	winters	winters
heaviest	!align="right	!align="right
heavy	winters	humid
heavier	!align="right	!align="right
heaviest	than	than
deeper	!align="right	!align="right
deep	winters	temperatures
deepest	!align="right	!align="right
deep	winters	humid
deeper	!align="right	!align="right
deepest	understanding	understanding
newer	!align="right	!align="right
new	layer	layer
newest	!align="right	!align="right
new	layer	layer
newer	!align="right	!align="right
newest	pending	pending
bloodier	!align="right	!align="right
bloody	layer	layer
bloodiest	!align="right	!align="right
bloody	layer	layer
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
prettier	!align="right	!align="right
pretty	layer	layer
prettiest	!align="right	!align="right
pretty	layer	layer
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
softer	!align="right	!align="right
soft	layer	layer
softest	!align="right	!align="right
soft	layer	layer
softer	!align="right	!align="right
softest	!align="right	!align="right
taller	!align="right	!align="right
tall	layer	layer
tallest	!align="right	!align="right
tall	layer	layer
taller	towers	towers
tallest	!align="right	!align="right
newer	york	york
new	pending	pending
newest	york	york
new	!align="right	!align="right
newer	!align="right	!align="right
newest	pending	pending
weaker	strong	strong
weak	!align="right	!align="right
weakest	strong	strong
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
longer	slender	slender
long	newscast	newscast
