iraq	ottoman	ottoman
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	kilkenny	kilkenny
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	taiwan	vietnam
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	myanmar	canada
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romania	romania
hungary	vienna	hungary
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	danish
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	cork	cork
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	maryland	maryland
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	ottawa	ottawa
gabon	!align="right	!align="right
belize	!align="right	!align="right
germany	und	und
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="right	!align="right
egypt	egypt	malta
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	kilkenny	kilkenny
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	croatia	croatia
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	macedonia	canada
gabon	!align="right	!align="right
malawi	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	moscow	moscow
rwanda	!align="right	!align="right
jamaica	ottawa	ottawa
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	ireland	ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	lithuania	lithuania
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	austria	denmark
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	portugal	portugal
kyrgyzstan	netherlands	netherlands
slovakia	netherlands	netherlands
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	netherlands	netherlands
egypt	egypt	egypt
australia	sydney	australia
venezuela	netherlands	netherlands
moldova	netherlands	netherlands
guinea	netherlands	netherlands
denmark	denmark	denmark
senegal	netherlands	netherlands
syria	swiss	swiss
bangladesh	netherlands	netherlands
qatar	netherlands	netherlands
ireland	ireland	ireland
tajikistan	netherlands	netherlands
tuvalu	netherlands	netherlands
botswana	netherlands	netherlands
guyana	italy	italy
vietnam	netherlands	netherlands
zimbabwe	netherlands	netherlands
cuba	germany	germany
finland	finland	finland
pakistan	netherlands	netherlands
indonesia	germany	germany
afghanistan	netherlands	netherlands
uganda	netherlands	netherlands
nepal	netherlands	netherlands
sudan	netherlands	netherlands
ukraine	ukraine	ukraine
rwanda	netherlands	netherlands
jamaica	germany	germany
gabon	netherlands	netherlands
malawi	netherlands	netherlands
peru	italy	argentina
portugal	portugal	portugal
slovenia	netherlands	netherlands
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	moscow	moscow
rwanda	!align="right	!align="right
jamaica	ottawa	ottawa
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	porto	porto
slovenia	!align="right	!align="right
england	kensington	kensington
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	czech	czech
egypt	hungary	hungary
australia	romania	romania
venezuela	czech	czech
moldova	czech	czech
guinea	czech	czech
denmark	romania	romania
senegal	czech	czech
syria	romania	romania
bangladesh	czech	czech
qatar	czech	czech
ireland	under-21	under-21
tajikistan	czech	czech
tuvalu	czech	czech
botswana	czech	czech
guyana	romania	romania
vietnam	czech	czech
zimbabwe	czech	czech
cuba	czech	czech
finland	czech	belarus
pakistan	czech	czech
indonesia	czechoslovakia	czechoslovakia
afghanistan	czech	czech
uganda	czech	czech
nepal	czech	czech
sudan	czech	czech
ukraine	ukraine	ukraine
rwanda	czech	czech
jamaica	czech	czech
gabon	czech	czech
malawi	czech	czech
peru	hungary	hungary
portugal	portugal	portugal
slovenia	czech	czech
england	hungary	hungary
angola	czech	czech
romania	romania	romania
hungary	hungary	hungary
burundi	!align="right	!align="right
egypt	malta	malta
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	waterford	ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	estonia	estonia
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	ontario	ontario
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	copa	copa
portugal	portugal	portugal
slovenia	!align="right	!align="right
england	oxford	oxford
angola	!align="right	!align="right
zambia	!align="right	!align="right
hungary	hungary	hungary
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	under-21	under-21
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	slovenia	slovenia
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	spain
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesian	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	slovakia	czech
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	portugal	portugal
slovenia	!align="right	!align="right
england	slovenia	england
angola	!align="right	!align="right
zambia	!align="right	!align="right
spain	spain	spain
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	ottoman	ottoman
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	croatia	croatia
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesian	annexation
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	kingdom	kingdom
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	portugal	portugal
slovenia	!align="right	!align="right
england	england	england
angola	!align="right	!align="right
zambia	!align="right	!align="right
spain	spain	spain
nicaragua	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	moscow	moscow
rwanda	!align="right	!align="right
jamaica	ottawa	ottawa
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	porto	porto
slovenia	!align="right	!align="right
england	kensington	kensington
angola	!align="right	!align="right
zambia	!align="right	!align="right
spain	atltico	atltico
nicaragua	!align="right	!align="right
bahrain	!align="right	!align="right
australia	sydney	melbourne
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	sweden
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	all-ireland	all-ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	york	york
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	jamaica	jamaica
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	peru
portugal	portugal	portuguese
slovenia	!align="right	!align="right
england	borough	borough
angola	!align="right	!align="right
zambia	!align="right	!align="right
spain	atltico	atltico
nicaragua	!align="right	!align="right
bahrain	!align="right	!align="right
philippines	philippines	philippines
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	governorate
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	hopkins	hopkins
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
rwanda	!align="right	!align="right
jamaica	canada	canada
gabon	!align="right	!align="right
malawi	!align="right	!align="right
peru	peru	brazil
portugal	portuguese	portuguese
slovenia	!align="right	!align="right
england	south	england
angola	!align="right	!align="right
zambia	!align="right	!align="right
spain	spain	spain
nicaragua	!align="right	!align="right
bahrain	!align="right	!align="right
philippines	philippines	philippines
mozambique	!align="right	!align="right
moldova	colombia	colombia
guinea	colombia	colombia
